"Original Text","Initial","Machine translation","Better translation","Best translation"
"\f[16]おさわり時に少し快楽値が上がりやすくなる。
習得済み","","","\font[3]\f[12]Makes it slightly easier to pleasure your sister when touched.
Acquired.",""
"必要心","","","",""
"\f[16]パジャマを脱がす際にかなり目覚めにくくする。
必要スキルPt:30","","\f[16]It is quite difficult to wake up when taking off pajamas.
Required Skill Pt: 30","\font[3]\f[12]Makes it significantly harder to awaken your sister when taking 
off pajamas.
Required Skill Pts: 30.",""
"\f[16]パジャマを脱がす際にかなり目覚めにくくする。
習得済み


","","","\font[3]\f[12]Makes it significantly harder to awaken your sister when taking 
off pajamas.
Acquired.",""
"\f[16]その日初回の挿入時に快楽値を大きく上昇させる。
必要スキルPt:24","","","\font[3]\f[12]Significantly increases the pleasure experienced by your sister
during her first-time insertion on that day.
Required Skill Pts: 24.",""
"\f[16]その日初回の挿入時に快楽値を大きく上昇させる。
習得済み","","","\font[3]\f[12]Significantly increases the pleasure experienced by your sister
during her first-time insertion on that day.
Acquired.",""
"\f[16]射精可能回数が増える。 ※最大9 
必要スキルPt:16　繰り返し取得可能","","","\font[3]\f[12]Increases the number of possible ejaculations.
Required Skill Pt: 16. 
Can be acquired 9 times.",""
"\f[16]射精可能回数が増える。
習得済み","","","\font[3]\f[12]Increases the number of possible ejaculations.
Fully Acquired.",""
"\f[16]中だし時に快楽値を大きく上昇させる。
必要スキルPt:32","","","\font[3]\f[12]Significantly increases the pleasure experienced by your sister
during vaginal cumshot.
Required Skill Pts: 32.",""
"\f[16]中だし時に快楽値を大きく上昇させる。
習得済み","","","\font[3]\f[12]Significantly increases the pleasure experienced by your sister
during vaginal cumshot.
Acquired.",""
"\f[16]覗きなどが見つかりにくくなる。
必要スキルPt:24","","","\font[3]\f[12]Reduces the likelihood of your sister noticing you when peeping 
or engaging in similar activities.
Required Skill Pts: 24.",""
"\f[16]覗きなどが見つかりにくくなる。
習得済み","","","\font[3]\f[12]Reduces the likelihood of your sister noticing you when peeping 
or engaging in similar activities.
Acquired.",""
"\f[16]1日の精力回復値がアップする。
必要スキルPt:20","","","\font[3]\f[12]Increases the amount of stamina recovered per day. 
Required Skill Pts: 20.",""
"\f[16]1日の精力回復値がアップする。
習得済み","","","\font[3]\f[12]Increases the amount of stamina recovered per day. 
Acquired.",""
"\f[16]性欲が溜まりやすい。
必要スキルPt:20","","","\font[3]\f[12]Makes it easier for lust to accumulate.
Required Skill Pts: 20.",""
"\f[16]性欲が溜まりやすい。
習得済み","","","\font[3]\f[12]Makes it easier for lust to accumulate.
Acquired.",""
"\f[16]パンツを漁った時の取得数が増加。
必要スキルPt:20","","","\font[3]\f[12]Increases the number of panties obtained during the hunt.
Required Skill Pts: 20.",""
"\f[16]パンツを漁った時の取得数が増加。
習得済み","","","\font[3]\f[12]Increases the number of panties obtained during the hunt.
Acquired.",""
"\f[16]射精を130％まで耐えることができる。
必要スキルPt:20","","","\font[3]\f[12]Enhances your ability to withstand ejaculation to 130%.
Required Skill Pts: 20.",""
"\f[16]射精を130％まで耐えることができる。
習得済み","","","\font[3]\f[12]Enhances your ability to withstand ejaculation to 130%.
Acquired.",""
"\f[16]射精を110％までしか耐えることができない。
必要経験　--","","","\font[3]\f[12]Limits your ability to withstand ejaculation to 110%. 
Required Exp: --.",""
"\f[16]射精を110％までしか耐えることができない。
必要スキルPt:20　（解除）","","","\font[3]\f[12]Limits your ability to withstand ejaculation to 110%. 
Required Skill Pts: 20. [Removable]",""
"\f[16]中出し時に着床率が100％
必要経験　--","","","\font[3]\f[12]Ensures a 100% chance of successful implantation during vaginal 
cumshot.
Required Exp: --.",""
"\f[16]中出し時に着床率が100％
必要スキルPt:20　（解除）","","","\font[3]\f[12]Ensures a 100% chance of successful implantation during vaginal 
cumshot.
Required Skill Pts: 20. [Removable]",""
"\f[16]スキンシップを行った際の妹性欲上昇が増加。
必要スキルPt:32　","","","\font[3]\f[12]Increases the amount of lust your sister receives during interaction.
Required Skill Pts: 32.",""
"\f[16]スキンシップを行った際の妹性欲上昇が増加。
習得済み","","","\font[3]\f[12]Increases the amount of lust your sister receives during interaction.
Acquired.",""
"\f[16]深夜妹がフェラチオをしてくれるようになる。
必要スキルPt:40","","","\font[3]\f[12]Increases the likelihood of your sister giving you a blowjob during 
midnight (touching) activity.
Required Skill Pts: 40.",""
"\f[16]深夜妹がフェラチオをしてくれるようになる。
習得済み","","","\font[3]\f[12]Increases the likelihood of your sister giving you a blowjob during 
midnight (touching) activity.
Acquired.",""
"\f[16]妹の性欲が極めて高い時に何もせず就寝した際
素股、騎乗位が発生する。
必要スキルPt:40","","","\font[3]\f[12]Enables the intercrural sex and cowgirl pose to occur during 
midnight if you go to bed without doing anything when 
your sister is highly aroused.
Required Skill Pts: 40.",""
"\f[16]妹の性欲が極めて高い時に何もせず就寝した際
素股、騎乗位が発生する。
習得済み","","","\font[3]\f[12]Enables the intercrural sex and cowgirl pose to occur during 
midnight if you go to bed without doing anything when 
your sister is highly aroused.
Acquired.",""
"\f[16]お風呂でのHしたいコマンドにパイズリを追加する。
必要スキルPt:40","","","\font[3]\f[12]Enables the boobjob option in the ""Let's have sex"" command during 
bath time.
Required Skill Pts: 40.",""
"\f[16]お風呂でのHしたいコマンドにパイズリを追加する。
習得済み","","","\font[3]\f[12]Enables the boobjob option in the ""Let's have sex"" command during 
bath time.
Acquired.",""
"\f[16]体位、まんぐり返しを選択できるようになる。
必要スキルPt:40","","","\font[3]\f[12]Enables the piledriver pose option during midnight (touching) 
activity.
Required Skill Pts: 40.",""
"\f[16]体位、まんぐり返しを選択できるようになる。
習得済み","","","\font[3]\f[12]Enables the piledriver pose option during midnight (touching) 
activity.
Acquired.",""
"\f[16]体位、後背位を選択できるようになる。
必要スキルPt:40","","","\font[3]\f[12]Enables the doggy style pose option during midnight (touching) 
activity.
Required Skill Pts: 40.",""
"\f[16]体位、後背位を選択できるようになる。
習得済み","","","\font[3]\f[12]Enables the doggy style pose option during midnight (touching) 
activity.
Acquired.",""
"\f[16]作れる料理が増加し失敗率も低下。
必要スキルPt:20","","","\font[3]\f[12]Increases the number of dishes you can cook and reduces the 
likelihood of failure.
Required Skill Pts: 20.",""
"\f[16]作れる料理が増加し失敗率も低下。
習得済み","","","\font[3]\f[12]Increases the number of dishes you can cook and reduces the 
likelihood of failure.
Acquired.",""
"\f[16]怪我の治りが早くなる。
必要スキルPt:20","","","\font[3]\f[12]Injuries heal faster.
Required Skill Pts: 20.",""
"\f[16]怪我の治りが早くなる。
習得済み","","","\font[3]\f[12]Injuries heal faster.
Acquired.",""
"\f[16]バイトで得られるお金が増える。
必要スキルPt:30","","","\font[3]\f[12]Increases the amount of money earned from part-time jobs.
Required Skill Pts: 30.",""
"\f[16]バイトで得られるお金が増える。
習得済み","","","\font[3]\f[12]Increases the amount of money earned from part-time jobs.
Acquired.",""
"\f[16]地域貢献、討伐などの報酬が増える。
必要スキルPt:30","","","\font[3]\f[12]Increases the rewards obtained from local contributions and 
subjugation requests.
Required Skill Pts: 30.",""
"\f[16]\f[16]地域貢献、討伐などの報酬が増える。
習得済み","","","\font[3]\f[12]Increases the rewards obtained from local contributions and 
subjugation requests.
Acquired.",""
"\f[16]戦闘時に必殺のお兄ちゃんアタックを使用できる。
必要スキルPt:30","","","\font[3]\f[12]Allow the use of deadly Onii-chan Attack in battle. 
Required skill points: 30.",""
"\f[16]戦闘時に必殺のお兄ちゃんアタックを使用できる。
習得済み","","","\font[3]\f[12]Allow the use of deadly Onii-chan Attack in battle. 
Acquired.",""
"\f[16]攻撃系の基礎能力が上がりやすくなる。
必要スキルPt:50","","","\font[3]\f[12]Makes it easier to improve basic offensive capabilities.
Required skill points: 50.",""
"\f[16]攻撃系の基礎能力が上がりやすくなる。
習得済み","","","\font[3]\f[12]Makes it easier to improve basic offensive capabilities.
Acquired.",""
"\f[16]防御系の基礎能力が上がりやすくなる。
必要スキルPt:50","","","\font[3]\f[12]Makes it easier to improve basic defensive capabilities.
Required skill points: 50.",""
"\f[16]防御系の基礎能力が上がりやすくなる。
習得済み","","","\font[3]\f[12]Makes it easier to improve basic defensive capabilities.
Acquired.",""
"\f[16]スキル発動率20％UP
必要スキルPt:140","","","\font[3]\f[12]Boosts skill activation rate by 20%.
Required Skill Pts: 140.",""
"\f[16]スキル発動率20％UP
習得済み","","","\font[3]\f[12]Boosts skill activation rate by 20%.
Acquired.",""
"\f[16]スキル発動時に反撃率25％UP
必要スキルPt:40","","","\font[3]\f[12]Boosts counterattack rate by 25% when activated.
Required Skill Pts: 40.",""
"\f[16]スキル発動時に反撃率25％UP
習得済み","","","\font[3]\f[12]Boosts counterattack rate by 25% when activated.
Acquired.",""
"\f[16]スキル発動時に会心率25％UP
必要スキルPt:40","","","\font[3]\f[12]Boosts critical rate by 25% when activated.
Required Skill Pts: 40.",""
"\f[16]スキル発動時に会心率25％UP
習得済み","","","\font[3]\f[12]Boosts critical rate by 25% when activated.
Acquired.",""
"\f[16]会心ダメージ25％UP
必要スキルPt:40","","","\font[3]\f[12]Boosts critical damage by 25%.
Required Skill Pts: 40.",""
"\f[16]\f[16]会心ダメージ25％UP
習得済み","","","\font[3]\f[12]Boosts critical damage by 25%.
Acquired.",""
"\f[16]仲間のつよさを50％UP
必要スキルPt:60","","","\font[3]\f[12]Increases companion's strength by 50%.
Required Skill Pts: 60.",""
"\f[16]\f[16]仲間のつよさを50％UP
習得済み","","","\font[3]\f[12]Increases companion's strength by 50%.
Acquired.",""
"\f[16]スキル発動時に最大戦力の5％を回復
必要スキルPt:60","","","\font[3]\f[12]Restores 5% of the maximum party's fighting strength when activated.
Required Skill Pts: 60.",""
"\f[16]スキル発動時に最大戦力の5％を回復
習得済み","","","\font[3]\f[12]Restores 5% of the maximum party's fighting strength when activated.
Acquired.",""
"\f[16]後衛のダウン率を下げる。
必要スキルPt:40","","","\font[3]\f[12]Reduces the likelihood of the rear guard getting knocked down.
Required Skill Pts: 40.",""
"\f[16]後衛のダウン率を下げる。
習得済み","","","\font[3]\f[12]Reduces the likelihood of the rear guard getting knocked down.
Acquired.",""
"\f[16]戦闘時4ターン目以降のスキル発動率+10％
必要スキルPt:100","","","\font[3]\f[12]Boosts skill activation rate by 10% after the 4th turn in battle.
Required Skill Pts: 100.",""
"\f[16]戦闘時4ターン目以降のスキル発動率+10％
習得済み","","","\font[3]\f[12]Boosts skill activation rate by 10% after the 4th turn in battle.
Acquired.",""
"\f[16]お兄ちゃんの攻撃に追撃発生率25％UP
必要スキルPt:40","","","\font[3]\f[12]Attacks from you now have a 25% higher probability of triggering 
follow-up attacks.
Required Skill Pts: 40.",""
"\f[16]お兄ちゃんの攻撃に追撃発生率25％UP
習得済み","","","\font[3]\f[12]Attacks from you now have a 25% higher probability of triggering 
follow-up attacks.
Acquired.",""
"\f[16]スキル発動時1ターン目の行動ポイント+5
必要スキルPt:60","","","\font[3]\f[12]Grants a +5 increase in action points on the first turn when 
activated.
Required Skill Pts: 60.",""
"\f[16]スキル発動時1ターン目の行動ポイント+5
習得済み","","","\font[3]\f[12]Grants a +5 increase in action points on the first turn when 
activated.
Acquired.",""
"\f[16]スキル発動時1ターン目の攻撃力50％UP
必要スキルPt:60","","","\font[3]\f[12]Boosts attack by 50% on the first turn when activated.
Required Skill Pts: 60.",""
"\f[16]スキル発動時1ターン目の攻撃力50％UP
習得済み","","","\font[3]\f[12]Boosts attack by 50% on the first turn when activated.
Acquired.",""
"\f[16]会心率10％UP 戦闘可能ターン数-5
必要スキルPt:50","","","\font[3]\f[12]Boosts critical hit rate by 10% and decreases the number of 
combat turns by 5.
Required Skill Pts: 50.",""
"\f[16]会心率10％UP 戦闘可能ターン数-5
習得済み","","","\font[3]\f[12]Boosts critical hit rate by 10% and decreases the number of 
combat turns by 5.
Acquired.",""
"\f[16]戦闘可能ターン数+5
必要スキルPt:50","","","\font[3]\f[12]Increases the number of combat turns by 5.
Required Skill Pts: 50.",""
"\f[16]戦闘可能ターン数+5
習得済み","","","\font[3]\f[12]Increases the number of combat turns by 5.
Acquired.",""
"強靭","","","",""
"\f[16]攻撃を受けた際に体勢が崩されにくくなる。
必要スキルPt:30","","","\font[3]\f[12]Reduces the likelihood of your stance being disrupted when 
attacked.
Required Skill Pts: 30.",""
"\f[16]攻撃を受けた際に体勢が崩されにくくなる。
習得済み","","","\font[3]\f[12]Reduces the likelihood of your stance being disrupted when 
attacked.
Acquired.",""
"堅固","","","",""
"\f[16]スキル発動時にガード率25％UP
必要スキルPt:40","","","\font[3]\f[12]Boosts guard rate by 25% when activated.
Required Skill Pts: 40.",""
"\f[16]スキル発動時にガード率25％UP
習得済み","","","\font[3]\f[12]Boosts guard rate by 25% when activated.
Acquired.",""
"\f[16]妹のおうえんを受ける時にHPが大きく回復する。
必要スキルPt:30","","","\font[3]\f[12]When receiving support from your sister, your HP will be 
greatly restored.
Required Skill Pts: 30.",""
"\f[16]妹のおうえんを受ける時にHPが大きく回復する。
習得済み","","","\font[3]\f[12]When receiving support from your sister, your HP will be 
greatly restored.
Acquired.",""
"取得メータ下げ","","","",""
"ここから習得処理","","","",""
"SE/Select.wav","","","",""
"SE/skill_attack01.wav","","","",""
"経験を支払う","","","",""
"取得処理","","","",""
"\f[16]おさわり時に少し目覚めにくくなる。
","","","",""
"\f[16]おさわり時に少し快楽値が上がりやすくなる。
","","","",""
"\f[16]パジャマを脱がす際にかなり目覚めにくくする。



","","","",""
"\f[16]その日初回の挿入時に快楽値を大きく上昇させる。
","","","",""
"\f[16]射精可能回数が増える。 ※最大9 繰り返し取得可
必要スキルPt:16","","","",""
"\f[16]中だし時に快楽値を大きく上昇させる。
","","","",""
"\f[16]覗きなどが見つかりにくくなる。
","","","",""
"\f[16]1日の精力回復値がアップする。
","","","",""
"\f[16]性欲が溜まりやすい。
","","","",""
"\f[16]パンツを漁った時の取得数が増加。
","","","",""
"\f[16]射精を130％まで耐えることができる。
","","","",""
"\f[16]スキンシップを行った際の妹性欲上昇が増加。
","","","",""
"\f[16]\f[16]地域貢献、討伐などの報酬が増える。
必要スキルPt:30","","","\font[3]\f[12]Increases the rewards obtained from local contributions and 
subjugation requests.
Required Skill Pts: 30.",""
"\f[16]スキル発動時1ターン目の行動ポイント+5","","","",""
"\f[16]スキル発動時1ターン目の攻撃力50％UP","","","",""
"\f[16]妹のおうえんを受ける時にHPが回復する。
必要スキルPt:30","","","\font[3]\f[12]When receiving support from your sister, your HP will be 
greatly restored.
Required Skill Pts: 30.",""
"\f[16]妹のおうえんを受ける時にHPが回復する。
習得済み","","","\font[3]\f[12]When receiving support from your sister, your HP will be 
greatly restored.
Acquired.",""
"Picture/sd_icon03.png","","","",""
"\f[14]\Eおめでとうございます！
これでスキルの取得は完了です。","","","\E\font[3]\f[18]\-[2]Congratulations! You have finished acquiring skills.",""
"\f[14]\E様々なスキルを習得して、
より豊かなお兄ちゃんライフを満喫しましょう！","","","\E\font[3]\f[18]\-[2]Acquire various skills and enjoy a fulfilling life as Onii-chan!",""
"戦判定表示","","","",""
"お兄ちゃんの処理","","","",""
"Picture/battle_icon_09.png","","","",""
"Picture/battle_icon_10.png","","","",""
"Picture/battle_icon_01.png","","","",""
"Picture/battle_icon_02.png","","","",""
"カナの処理","","","",""
"Picture/battle_icon_03.png","","","",""
"Picture/battle_icon_04.png","","","",""
"ユイの処理","","","",""
"Picture/battle_icon_07.png","","","",""
"Picture/battle_icon_06.png","","","",""
"カスミの処理","","","",""
"Picture/battle_icon_05.png","","","",""
"戦クリック処理","","","",""
"SE/button33.mp3","","","",""
"通常攻撃","","","",""
"スキル（兄","","","",""
"攻撃（カナ","","","",""
"スキル（カナ","","","",""
"スキル（ユイ","","","",""
"スキル（カスミ","","","",""
"スキル（ユイ2","","","",""
"この処理をケツに","","","",""
"\c[9]\f[16]★","","","",""
"■深夜UI表示1","","","",""
"コマンド【基本】を表示します","","","",""
"お兄ちゃんステータス","","","",""
"\E\f[32]\v[111]%","","","\E\font[3]\f[24]\-[2]\v[111]%",""
"\E\f[28]賢者","","","\E\font[3]\f[18]\-[2]Post-nut",""
"\E\f[28]冷静","","","\E\font[3]\f[18]\-[2]Calm",""
"\E\f[28]普通","","","\E\font[3]\f[18]\-[2]Normal",""
"\E\f[28]興奮","","","\E\font[3]\f[18]\-[2]Excited",""
"\E\f[28]限界","","","\E\font[3]\f[18]\-[2]Limit",""
"\E\f[28]暴走","","","\E\font[3]\f[18]\-[2]Run-amok",""
"終了ボタン","","","",""
"Picture/endbutton.png","","","",""
"ボタン類　カテゴリ1　右　400～","","","",""
"Picture/h_button_s01.png","","","",""
"Picture/h_button_s02.png","","","",""
"Picture/h_button_s04.png","","","",""
"仰向け","","","",""
"Picture/hbutton_m17.png","","","",""
"横向き","","","",""
"うつぶせ","","","",""
"バック","","","",""
"騎乗位","","","",""
"まんぐり","","","",""
"パイズリ","","","",""
"Picture/h_button_s03.png","","","",""
"Picture/hbutton_m32.png","","","",""
"ボタン類　カテゴリ1　左　500～","","","",""
"Picture/h_button_s07.png","","","",""
"Picture/h_button_s06.png","","","",""
"Picture/hbutton_m37.png","","","",""
"Picture/h_button_s08.png","","","",""
"Picture/h_button_s09.png","","","",""
"拭き取る","","","",""
"Picture/hbutton_m35.png","","","",""
"射精499","","","",""
"Picture/h_button_s05.png","","","",""
"コマンド【触る 右】を表示します","","","",""
"4","","","",""
"Picture/hbutton_m02.png","","","",""
"Picture/hbutton_m01.png","","","",""
"Picture/hbutton_m27.png","","","",""
"Picture/hbutton_m03.png","","","",""
"うつ伏せ","","","",""
"シックスナイン","","","",""
"ぱいずり","","","",""
"コマンド【服】を表示します","","","",""
"Picture/hbutton_m10.png","","","",""
"Picture/hbutton_m11.png","","","",""
"Picture/hbutton_m28.png","","","",""
"Picture/hbutton_m12.png","","","",""
"着衣チェックA","","","",""
"これ以上着せる服がない場合は着せるを消す","","","",""
"これ以上脱がす服がない場合は脱がすを消す","","","",""
"コマンド【触る　左】を表示します","","","",""
"Picture/hbutton_m08.png","","","",""
"Picture/hbutton_m09.png","","","",""
"コマンド【道具】を表示します","","","",""
"道具関係","","","",""
"Picture/hbutton_m23.png","","","",""
"Picture/hbutton_m24.png","","","",""
"Picture/hbutton_m25.png","","","",""
"Picture/hbutton_m26.png","","","",""
"コマンド【触るおっぱい右】を表示します","","","",""
"Picture/hbutton_m04.png","","","",""
"Picture/hbutton_m05.png","","","",""
"コマンド【触るおしり】を表示します","","","",""
"Picture/hbutton_m06.png","","","",""
"Picture/hbutton_m07.png","","","",""
"コマンド【触るまんまん】を表示します","","","",""
"コマンド【着せる】を表示します","","","",""
"Picture/hbutton_m13.png","","","",""
"Picture/hbutton_m14.png","","","",""
"Picture/hbutton_m15.png","","","",""
"Picture/hbutton_m16.png","","","",""
"コマンド【脱がす】を表示します","","","",""
"■深夜UI表示2","","","",""
"コマンド【挿入】を表示します","","","",""
"Picture/hbutton_m20.png","","","",""
"Picture/hbutton_m19.png","","","",""
"Picture/hbutton_m18.png","","","",""
"Picture/hbutton_m36.png","","","",""
"Picture/hbutton_m22.png","","","",""
"Picture/hbutton_m31.png","","","",""
"Picture/hbutton_m30.png","","","",""
"コマンド【挿入　あそこ】を表示します","","","",""
"コマンド【触る　左おっぱい】を表示します","","","",""
"コマンド【触る　左おしり】を表示します","","","",""
"コマンド【挿入　うごく】を表示します","","","",""
"Picture/hbutton_m33.png","","","",""
"Picture/hbutton_m34.png","","","",""
"コマンド【尻コキ】を表示します","","","",""
"Picture/hbutton_m38.png","","","",""
"■深夜UI判定","","","",""
"1.44ティッシュ","","","",""
"使用済みティッシュ","","","",""
"ティッシュ1","","","",""
"\E…拭き取ったあとのティッシュだな。
ほんのり栗の花の香りがするぞ。","","","\E\font[3]\f[18]\-[2]...It's the tissue I used to wipe. 
It has a faint scent of chestnut flowers.",""
"ティッシュ2","","","",""
"ティッシュ3","","","",""
"1.44ゴム","","","",""
"使用済みゴム","","","",""
"ゴム1","","","",""
"\E…精液でたぷたぷになったコンドームだ。","","","\E\font[3]\f[18]\-[2]...It's a condom full of sperm.",""
"ゴム2","","","",""
"ゴム3","","","",""
"各画像（ボタン）を選択時に呼び出す変数を設定します","","","",""
"行為終了","","","",""
"お尻選択","","","",""
"尻コキ","","","",""
"触る　右","","","",""
"触る　左","","","",""
"服","","","",""
"道具","","","",""
"触る　おっぱい","","","",""
"触る　お尻","","","",""
"触る　まんまん","","","",""
"着せる","","","",""
"脱がす","","","",""
"挿入","","","",""
"浅く/深く","","","",""
"触る　左おっぱい","","","",""
"触る　左おしり","","","",""
"■■■ここまでメニュー■■■","","","",""
"■■■ここから実処理■■■","","","",""
"なでる　右おっぱい","","","",""
"揉む　右おっぱい","","","",""
"右　乳首","","","",""
"なでる　右おしり","","","",""
"もむ　右おしり","","","",""
"なか　おしり","","","",""
"あそこ　そと","","","",""
"あそこ　なか","","","",""
"着せる　パジャマ","","","",""
"着せる　きゃみ","","","",""
"着せる　短パン","","","",""
"着せる　ショーツ","","","",""
"脱がす　パジャマ","","","",""
"脱がす　キャミ","","","",""
"脱がす　短パン","","","",""
"脱がす　ショーツ","","","",""
"めくる　パジャマ","","","",""
"オナニー","","","",""
"挿入　浅く","","","",""
"挿入　深く","","","",""
"挿入　お尻","","","",""
"挿入　抜く","","","",""
"挿入　うごく","","","",""
"SE/decision22.mp3","","","",""
"挿入　止まる","","","",""
"hscene/h_s01_pose01_syasei05.png","","","",""
"速度調整は一旦実装見送り","","","",""
"挿入　遅く","","","",""
"挿入　早く","","","",""
"ゴム装着","","","",""
"なでる　左おっぱい","","","",""
"揉む　左おっぱい","","","",""
"左　ちくび","","","",""
"なでる　左おしり","","","",""
"揉む　左おしり","","","",""
"道具　ローター","","","",""
"道具　バイブ","","","",""
"道具　アナルバイブ","","","",""
"道具　触手","","","",""
"射精","","","",""
"SE/cancel1.mp3","","","",""
"おしり　そと","","","",""
"開脚","","","",""
"閉脚","","","",""
"コンドーム装着","","","",""
"\Eしっかり装着しているぞ。","","","\E\font[3]\f[18]\-[2]I have it on properly.",""
"\E妹の事を思うならちゃんとつけないとな…。","","","\E\font[3]\f[18]\-[2]If you care about your sister, you should make sure to wear it properly...",""
"妹を起こす","","","",""
"起こす","","","",""
"\E妹を起こすのか…？","","","\E\font[3]\f[18]\-[2]Wake her up...?",""
"ポーズ変更","","","",""
"仰向けへ","","","",""
"\E先に精子を拭いたほうがよさそうだ…。","","","\E\font[3]\f[18]\-[2]It might be a good idea to clean off the sperm first...",""
"ポーズ変更リアクション","","","",""
"\E仰向けにするのか…？","","","\E\font[3]\f[18]\-[2]Make her lie on her back...?",""
"\E…よし。","","","\E\font[3]\f[18]\-[2]...There.",""
"\Eん…。","","","\E\font[3]\f[18]\-[2]Nhn...",""
"SE/[System]Buzzer02_panop.ogg","","","",""
"横向きへ","","","",""
"\E横向きにするのか…？","","","\E\font[3]\f[18]\-[2]Make her lie on her side?",""
"\E横になればいいの…？","","","\E\font[3]\f[18]\-[2]Will this be okay...?",""
"うつ伏せへ","","","",""
"\Eうつ伏せにするのか…？","","","\E\font[3]\f[18]\-[2]Make her lie face down...?
",""
"\E…よっこいしょ、と。","","","\E\font[3]\f[18]\-[2]...Okay.",""
"\Eえ、うつ伏せになるの…？","","","\E\font[3]\f[18]\-[2]Huh, you want me to lie face down...?",""
"バックへ","","","",""
"\E後ろからするの…？
うん…いいよ…。","","","\E\font[3]\f[18]\-[2]You want to do it from behind...? 
Yeah... okay...",""
"\Eは、はずかしいからあまり見ないで…。","","","\E\font[3]\f[18]\-[2]Ple, please... try not to stare at it too much...
It's embarrassing...",""
"\Eそんな格好…恥ずかしいよ…。","","","\E\font[3]\f[18]\-[2]Being in such a position... it's embarrassing...",""
"騎乗位へ","","","",""
"\E上に乗るの…？
うん…わかった…。","","","\E\font[3]\f[18]\-[2]You want me to be on top...? 
Okay... I got it...",""
"\E上になればいいの…？
う、うん…。","","","\E\font[3]\f[18]\-[2]Will this be okay...?
Th, there...",""
"\Eそんなの…恥ずかしいよ…。","","","\E\font[3]\f[18]\-[2]That's... kind of embarrassing...",""
"\Eお口がいいの…？
うん、いいよ…。","","","\E\font[3]\f[18]\-[2]You want to stick it in my mouth...?
Yeah, okay...",""
"\E…お口で？
ん、いいよ…。","","","\E\font[3]\f[18]\-[2]...With my mouth?
Su, sure...",""
"\Eああ…見られちゃう…あたしの…。","","","\E\font[3]\f[18]\-[2]Ah... I'm being seen... my private parts...",""
"まんぐり返し","","","",""
"\Eうん…いっぱいして…。","","","\E\font[3]\f[18]\-[2]Yes... please do lots...",""
"\E…やっ…きゃっ！","","","\E\font[3]\f[18]\-[2]...No... Kyah!",""
"\Eうぅ…こんな格好…恥ずかしい…。","","","\E\font[3]\f[18]\-[2]Uugh... this position... is embarrassing...",""
"\Eやっ…やだ…こんな格好…！","","","\E\font[3]\f[18]\-[2]No, no... I can't... in such an embarrassing position...!",""
"\E…うん。
妹の胸で気持ちよくなってね…。","","","\E\font[3]\f[18]\-[2]...Okay.
Please feel good with your sister's boobs...",""
"\E…おっぱいで挟むの…？
うん…わかった…。","","","\E\font[3]\f[18]\-[2]...You want me to squeeze it between my boobs...? 
Okay... I got it...",""
"\E…む、胸で…？
う、うん…いい、けど…。","","","\E\font[3]\f[18]\-[2]...Wi, with my boobs...? 
O, okay... sure...",""
"ゲームオーバー","","","",""
"デバック用だよ","","","",""
"■深夜UI処理","","","",""
"各メニューの表示呼び出しを行っています","","","",""
"SE/Enter.wav","","","",""
"\E精液を拭き取ってからにしようぜ…。","","","\E\font[3]\f[18]\-[2]Let's wipe off the sperm first before doing that...",""
"Picture/hbutton_m21.png","","","",""
"サブメニュー処理","","","",""
"戻り","","","",""
"Tips","","","\font[3]\f[18]Guide",""
"更新履歴","","","\font[3]\f[18]Changelog",""
"戻り子","","","",""
"画面の見方（メイン）","","","\font[3]\f[18]Understanding the screen layout (Main)",""
"画面の見方（深夜）","","","\font[3]\f[18]Understanding the screen layout (Midnight)",""
"画面の見方（戦闘）","","","\font[3]\f[18]Understanding the screen layout (Battle)",""
"画面の見方（冒険など）","","","\font[3]\f[18]Understanding the screen layout (Adventure, etc)",""
"アイテムリスト","","","\font[3]\f[18]List of items",""
"育成のヒント","","","\font[3]\f[18]Tips on growth/development",""
"cg/tips_00.png","","","",""
"cg/tips_04.png","","","",""
"＞＞","","","",""
"\E▼","","","",""
"cg/tips_01.png","","","",""
"Picture/sd_icon06.png","","","",""
"cg/tips_02.png","","","",""
"cg/tips_03.png","","","",""
"cg/tips_10.png","","","",""
"cg/tips_11.png","","","",""
"Picture/sd_icon05.png","","","",""
"\f[14]\E<C>Tips　深夜について","","","\E\font[3]\f[18]\-[2]<C>Tips on Midnight Activities",""
"\f[14]\Eお兄ちゃんの\c[2]性欲\c[0]が一定値を超えている状態で就寝すると
深夜（お触り）パートへ移行できます。","","","\E\font[3]\f[18]\-[2]You can move on to the midnight (touching) activity if you go to bed when your 
\c[2]lust\c[0] is above a certain level.",""
"\f[14]\E上部メーターは\c[1]BADが不快感\c[0]、\c[1]GOODが気持ちよさ\c[0]を表し
BADがゲージいっぱいまで達成すると行為は強制終了となります。","","","\E\font[3]\f[18]\-[2]The upper meter represents \c[1]discomfort with ""BAD""\c[0] and \c[1]pleasure with ""GOOD.""\c[0] 
When the ""BAD"" gauge reaches full, midnight (touching) activity will be forced to an end.",""
"\f[14]\Eメーター中央アイコンで現在の妹の\c[1]睡眠状態\c[0]と
\c[1]その気（興奮）度合い\c[0]を\c[2]アイコンの鼓動速度\c[0]で表します。","","","\E\font[3]\f[18]\-[2]The central icon on the meter displays your sister's \c[1]current sleep status\c[0] and 
her \c[1]level of arousal\c[0], indicated by the \c[2]speed at which the icon pulsates.\c[0]",""
